Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
23M,Thiruvanmiyur,CMBT,"Jayanthi, Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",,,
23M cut,Besant nagar,CMBT,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",,,
23V,Velachery,Villivakkam,"ICF, Ayanavaram, Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Check post",,,
242,Red Hills,Broadway,"Central R.S, Vepery, Doveton, Perambur, Kolathur, Puzhal",x,x,
242xt,Red Hills,Anna Square,,,,
242xt,Padiyanallur,Broadway,"Perambur, Central R.S",,,
248,V Nagar,Pudur,"Ambattur, Ambattur IE, Padi, Nadhamuni, ICF, Joint Office, Otteri, Pattalam, Pulianthopu Police station, Basin Bridge",x,,
248A,V Nagar,Kallikuppam,Pudur,,,
248P,V Nagar,Puthagaram,Pudur,,,x
248xt,V Nagar,Oragadam,"Ambattur, Ambattur IE, Padi, Lucas TVS, ICF, Joint Office, Otteri, Basin Bridge",,,
24A,V House,Anna Nagar West,"Shanthi Colony, K4 Police station, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",x,,
24C,V House,Avadi,"Ambattur OT, Collector Nagar, Blue Star, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",x,,
251A,Agaramthen,T.Nagar,"Bharath Engg. College, Camp Road, Kamarajapuram, Medavakkam, Velachery, Saidapet",,,
253,Aminjikarai,Vellavedu,"NSK, Mathuravoyal, Vellapanchavadi, Kumananchavadi, Poonamallee, Thirumazhisai",x,,
254,High Court,Iyyapanthangal,"SRMC, Porur, Ramapuram, Guindy, Saidapet, SIET, DMS, TVS, LIC, Central R.S.",,,
25G,Anna Square,Poonamallee,"Kannaki Statue, V.House, Royapettah, Palmgrove, Liberty, Vadapalani, Porur, Iyyapanthangal, Kumananchavadi",x,x,
266,Avadi,Tambaram,"Govardhanagiri, Kaduveti, Karaiyanchavadi, Kumananchavadi, Mangadu, Kundrathur, Pallavaram",x,,
270J,CMBT,Mathur,"Thirumangalam, Madhavaram",,,
27B,CMBT,Anna Square,"Koyambedu, Arumbakkam, NSK nagar,Amijikarai, KMC, Chetpet, MMC School, Egmore RS, Chindatripet, Zimson, Triplicane, Kannaki Statue",x,x,
27C,T. Nagar,Thiruverkadu,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Koyambedu Market, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi",x,,
27C cut,T. Nagar,Anna nagar West,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam",,,
27D,Foreshore Estate,Villivakkam,"Santhome, AIR, V.M.Street, Stella Maris College, Thousand Lights, LIC, Pudhupet, Maternity Hospital, Egmore RS, Dasaprakash, Purasaiwakkam, Kellys, Ayanavaram, ICF",x,,
27E,Anna Square,Elango nagar officer colony,"Collector nagar, Thirumangalam, Rountana, Amijikarai, KMC, Egmore RS, Zimson, Triplicane, Kannaki Statue",,,
27H,Anna Square,Avadi,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT",x,,
27H xt,Anna Square,Pattabiram,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT, Avadi",x,,
27L,Anna Square,Mogappair West,"Triplicane, Ethiraj College, Loyola College, Choolaimedu, Thirumangalam",x,,
27R,Anna Square,Oragadam,"Triplicane, LIC, DPI, Sterling Road, Choolaimedu, Anna Arch, Thirumangalam, Vavin, Ambattur I.E, Ambattur OT",,,x
27T,T.Nagar,Oragadam,"Ambattur OT, Ambattur I.E, Collector Nagar, CMBT, Vadapalani, Liberty, Bharathi nagar, Panagal park",,,
28,Egmore R.S,Thiruvotriyur,"Tollgate,Tondiarpet,Vallalarnagar,Regal, Central RS, Chindatripet",x,,
28A,Egmore R.S,Manali,"Andankuppam, Thiruvottriyur, Tollgate, Tondiarpet, Vallalarnagar, Regal, Central RS",x,,
28B,Egmore R.S,Ennore,"Ernavoor, Thiruvottriyur, Tollgate, Tondiarpet, Vallalarnagar, Regal, Central RS, Chindatripet",x,,
28D,Thiruvottiyur,T.Nagar,"Therady, Rajakadai, Tollgate, Tondiarpet, Vallalar nagar, Regal, Central, Zimson, LIC, TVS, Thousand Lights, DMS, Panagal park",,,x
29,Vinayagapuram,Mandaveli,"Kolahur, Agaram, Venus, Ptaaalam, Doveton, Egmore, L.I.C, Royapettah, Luz, Mylapore",,,
29A,Perambur,Anna Square,"Otteri, Devoton, Egmore, Pudhupet, Walaja Road, Bells Road, Triplicane",x,,
29B,Perambur,Saidapet,"Otteri, Doveton, KMC, Chetpet, Sterling Road/College Road, Gemini, DMS, T.Nagar",x,,
29C,Perambur,Besant Nagar /Thiruvanmiyur,"Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore, Mandaveli, Adyar",x,,
29C xt,Mathur MMDA,Thiruvanmiyur,"Madhavaram Milk colony, Thapal petti, Moolakadai, Perambur",,,
29D,Mathur MMDA,V House,"Madhavaram Milk colony, Thapal petti, Moolakadai, Perambur, Otteri, Devoton, Egmore, Pudhupet, Walaja Road",,,
29E,Perambur,Thiruverkadu,"Otteri, Purasawakkam High Road, Kellys, Aminjikarai, Koyambedu, Nerkundram, Maduravoyal, Velappanchavadi",,,
29G,Thiruvanmiyur,Parvathy Nagar (Kodungaiyur),"Moolakadai, Perambur, Doveton, Egmore, LIC, Royapettah, Mylapore, Mandaveli, Adyar",,,
29J,Madhavaram,Mandaveli,"Moolakadai, Perambur, Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore",,,x
29L,Periyar Nagar,Thiruvanmiyur,"Egmore, Teynampet, Saidapet, Adyar",,,
29N,Velachery,Perambur,"Saidapet, T. Nagar, DMS, Gemini, Sterling Road/College Road, KMC",,,
2A,Anna Square,M.K.B Nagar,"Vyasarpadi, Basin Bridge, Regal, Elephant gate, Central R.S, P R & sons, Walaja Road, Bells Road",,,
2A xt,Anna Square,Kaviarasu Kannadasan Nagar,M.K.B Nagar,,,
32,V. House,Vallalar Nagar,"Broadway, Central R.S., Simpson",x,,
32A,Tollgate,Foreshore Estate,"Maharani, Tondiarpet, Vallalar nagar, Broadway, Central R.S., Triplicane, V.House, AIR, Santhome",x,,
32B,V. House,Korukkupet,"Vallalar nagar, Broadway, Central R.S., Simpson",x,,
33,Broadway,M.K.B Nagar,"Vyasarpadi, Basin Bridge, Mint, Mannadi",x,,
34,Thiruvottiyur,Ambattur I.E,,x,,
34xt,Thiruvottiyur,Pattabiram,Ambattur I.E,,,x
35,Ayanavaram,Broadway,"Sayani, Kellys, Purasaiwakkam, Choolai P.O, Central R.S",,,x
37,V Nagar,Vadapalani,"Regal, Choolai P.O., Purasaivakkam,KMC, Chetpet,Sterling road, Valluvarkottam, Liberty",x,,
37C,Villivakkam,Vadapalani,"Kambar Arangam,Ayanavara,Kellys,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty",x,,
37D,V Nagar,KK Nagar,"Regal, Choolai P.O., Purasaivakkam,KMC, Chetpet,Sterling road, Valluvarkottam, Liberty, Samiarmadam, Udhayam, Nesapakkam, MGR Nagar",x,,
37E,M.K.B Nagar,Vadapalani,"Vysarpadi, V Nagar,Regal,Choolai P.O.,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty",x,,
37E xt,Iyyapanthangal,Kaviarasu Kannadasan Nagar,"M.K.B Nagar, Vysarpadi, V Nagar,Regal,Choolai P.O.,Purasaiwakkam, Egmore,DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Porur, SRMC",x,,
37G,Iyyapanthangal,V Nagar,"Regal, Choolai P.O., Purasaivakkam,KMC, Chetpet,Sterling road, Valluvarkottam, Liberty, Vadapalani, Porur, SRMC",x,,
38A,Mathur MMDA,Broadway,,,,x
38C,TVK Nagar,V House,"Venus, Perambur, Pattalam, Bhuvaneswari, Doveton, Choolai P.O, Central R.S, Simpson, Adam market, Triplicane P.O",x,,
38D,Tiruvottiyur,Parvathy Nagar (Kodungaiyur),,x,,
38H,Madhavaram,Broadway,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S",x,,
38J,Madhavaram,T.Nagar,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S, Broadway, Central, LIC, TVS, DMS, Panagal Park",,,
3A,High Court,Mandaveli,"Mylapore, Luz, Alwarpet, Royapetah, L.I.C, Central",,,x
4,Thiruvottiyur,Thiruvanmiyur,"Adyar, Mylapore, Luz, Music Academy, Royapettah, LIC, Central R.S, Regal, Vallalar Nagar, Tondiarpet, Tollgate, Therady",,,x
40,Anna Square,Meenambedu,"Triplicane, Pudhupet, Egmore, Dasaprakash, Taylors road, ICF, Nathamuni, Lucas, Ambathur IE, Ambathur OT, Venkatapuram",,,
40A,Anna Square,Avadi,"Triplicane, LIC, Egmore, KMC, Aminjikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT",x,,
40A xt,Egmore,Veppampattu,"KMC, Aminijikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT, Avadi, Pattabiram, Thirunindravur",,,x
41C,Thiruvanmiyur,Anna Nagar West,"Adyar Depot, Adyar, AMS, Mandaveli, Mylapore, Luz, Alwarpet, DMS, Gemini, Sterling Road, Chetpet, KMC, Amijikarai, Rountana, Thirumangalam",,,x
41D,Mandaveli,Avadi,"Ambattur OT, Korattur, Lucas,Thirumangalam, Amijikarai, KMC, Chetpet,Sterling road, Gemini,Teynampet,Nandanam, Adyar Gate",x,,
41D Cut,Mandaveli,Senthil Nagar,"Thirumullaivoyal, Ambattur OT, Korattur, Amijikarai,KMC, Chetpet, Sterling road, Gemini,Teynampet, Nandanam",,,x
41F,Mandaveli,CMBT,"Luz, Gemini, Valluvar Kottam, Loyola College, Choolaimedu, Anna Arch",,,x
41G,Thiruvanmiyur,Oragadam,"Amabattur OT, Ambathur IE, Wavin, Collector nagar, Thirumangalam, Anna nagar Rountana, Amijikarai, Taylors road, Sterling road, Gemini, Stella Maris College, Mylapore, Mandaveli, AMS, Adyar, Adyar Depot",,,x
42,Broadway,Periyar Nagar,"Central R.S, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur",x,,
42A,Broadway,G.K.M colony,"Central R.S, Periamet, Nataraja theatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur",,,
44,Broadway,Manali,V.Nagar,,,
44A,Broadway,I.O.C (Indian Oil Corporation),Tondiarpet,,,
44B,Manali New Town,Triplicane,,,,
44C,Broadway,I.O.C,Korukkupet,,,
44D,Broadway,I.O.C,Sathiyamoorthy Nagar,,,
44L,Broadway,Parvathi Nagar (Kodungaiyur),,,,
45A,Velachery,V.House,"Saidapet, Nandanam, Adyar Gate",,,
45B,Anna Square,Guindy,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre",x,,
45G,Anna square,Guindy,"Marina Beach, Chennai Citi Centre, Mylapore, Mandaveli, Adyar Gate, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",,,
46,CMBT,TVK Nagar,"Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",x,x,
46B,CMBT,Periyar Nagar,"Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",x,x,
46C,CMBT,Parvathy Nagar (Kodungaiyur),"Moolakadai, Perambur, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",x,x,
46G,CMBT,MKB Nagar East,"Vyasarpadi, Ayanavaram, ICF, Anna Nagar East, Arumbakkam",x,x,
47,Thiruvanmiyur/Adyar,Villivakkam,"T.Nagar, Valluvar Kottam, Pushpa nagar,Loyola college, Anna Nagar East",x,,
47A,Thiruvanmiyur /Besant Nagar,ICF (Integral Coach Factory),"Adyar, T.Nagar, Sterling Road, Taylors Road, New Avadi Road",x,,
47B,Besant Nagar,Villivakkam,"Avvai Home, Adyar B.S, T.Nagar, Anna Nagar East",,,
47C,Kotturpuram,Ambattur I.E,"Saidpet, T. Nagar, Mahalingapuram, Choolaimedu, Roundtana, Thirumangalam, Wavin",,,x
47D,Thiruvanmiyur,Avadi,"Adyar, T. Nagar, Sterling Road, Ambattur I.E",x,,
47D,Thiruvanmiyur,Ambathur O.T.,"Adyar, T. Nagar, Sterling Road, Ambattur I.E",,,x
47D cut,T.Nagar,Korattur,"Adyar, T. Nagar, Sterling Road, Lucas",,,x
48,Villivakkam,Vallalar Nagar,"ICF, Railway Quarters, Joint Office, Sayani, Otterri, Basin Bridge",x,,
48A,Madhavaram,Ambattur I.E,"Moolakadai, Perambur, Ayanavaram, ICF, Villivakkam, Padi",,,
48B,Thiru.Vi.Ka Nagar,Ennore,"Venus, Perambur, Moolakadai, Madhavaram, Mathur Koot road, Manali Koot road, Sathyamoorthy nagar, Ernavoor, Ashok Leyeland",,,
48C,CMBT,Vallalar Nagar,"Thirumangalam, Anna Nagar West, Nadhamuni, ICF, Railway Quarters, Joint Office, Sayani, Otterri, Basin Bridge",x,,
49,Thiruvanmiyur,Iyyapanthangal,"Guindy, Porur",x,,
49A,T.Nagar,Poonamallee,"Kumananchavadi, Porur, K.K. Nagar, Ashok Pillar",x,,
49B,T. Nagar,Poonamallee,"Kumananchavadi, Mangadu, Porur, K.K. Nagar, Ashok Pillar",,,x
49R,T. Nagar,Thiruverkadu,"Saidapet, Guindy, Ramapuram, Valasarawakkam, Maduravoyal,Velappan chavadi",,,
49xt,Thiruvanmiyur,Thiruverkadu,"Iyyapanthangal, Kumananchavadi, Velappanchavadi",,,
50,Broadway,Thiruverkadu,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi",,,
500,Chengalpattu,T. Nagar,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet",,,
500A,Chengalpattu,Hasthinapuram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Tambaram Sanatorium, Nehru nagar(Chrompet), Kumaran Kundram",,,x
500B,High Court,S.P.KOIL,"Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet, DMS, Central R.S",,,
500C,Chengalpattu,CMBT,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet",,,
500J,Chengalpattu,Velachery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Tambaram East, Tambaram West, Vandalur Zoo",,,
500V,Chengalpattu,Velachery,"Guindy, Pallvaram, Tambaram West, Vandalur Zoo",,,
501,Vadapalani,Poondi,"Virugamabakkam, Valasarawakkam,Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Thirumazhisai, Nemam, Manavalan Nagar, Thiruvallur",,,
502,Broadway,Sriperumbudur,"Central R.S, LIC, Saidapet, Guindy, Porur, Kumananchavadi, Poonamallee, Irrungattukottai",,,
505,Thiruvallur,Red Hills,"Alamadhi, Tamaraipakkam, Vishnuvakkam, Moolakarai, Ekkadu Kandigai",,,
505A,Thiruvallur,Periyapalayam,"Vadamadurai, Vengal, Tamaraipakkam, Vishnuvakkam, Moolakarai, Ekkadu Kandigai",,,x
505P,Red Hills,Periyapalayam,"Alamadhi, Tamaraipakkam, Vengal, Vadamadurai",,,x
510,Padappai,CMBT,"Karasangal, Mudichur, Tambaram, Pallavaram, Ashok Pillar",,,x
514,Periyapalayam,CMBT,"Lucas, Puzhal, Red Hills, Karanodai,Janappan chathram x road, Bandikavanoor,Kannigaipair",,,
515,Tambaram,Mamallapuram,"Vandalur Zoo, Kolapakkam, Vengambakkam, Kandigai, Melkottaiyur, Rathinamangalam, Kilkottaiyur, Mambakkam, Pudhupakkam, Kelambakkam, Kalavakkam, Thirupporur, Thandalam, Paiyanoor",x,,
515V,Vandalur,Kelambakkam,Mambakkam,,,
517,Pallavaram,Vadanemili,"Chrompet, Tambaram Sanatorium, Tambaram, Vandalur, Kandigai, Mambakkam, Pudhupakkam, Chettinad Hospital, Kelambakkam, Kovalam, Thiruvidanthai",,,
517K,Pallavaram,Kovalam,"Eachangadu, Kovilambakkam, Medavakkam Koot Road, Sholinganallur, Kelambakkam",,,x
517T,Pallavaram,Thirupporur,"Eachangadu, Kovilambakkam, Medavakkam Koot Road, Sholinganallur, Kelambakkam",,,x
519,T. Nagar,Thirupporur,"Saidapet, Tidel park,Sholinganallur, Kelambakkam",,,x
519 cut,Adyar,Thirupporur,"SRP tools, Sholinganallur, Kelambakkam, Kalavakkam",x,,
519A,T. Nagar,Aalathur IE,"Saidapet, Tidel park,Sholinganallur, Kelambakkam, Thirupporur",,,x
519A cut,Adyar,Aalathur IE,"SRP tools, Sholinganallur, Kelambakkam, Thirupporur",,,x
519T,Adyar,Thaiyur,"Perungudi,Sholinganallur,Kelambakkam",,,
51A,Tambaram East,Agaramthen,Camp Road,,,
51B,Saidapet,Karanai,"Checkpost, Velachery, Narayanapuram, Pallikaranai, Medavakkam, Sithalapakkam koot road, Sithalapakkam, Arasan kazhani, Ottiyambakkam",,,
51B xt,T.Nagar,Ottiyambakkam,"Saidapet, Checkpost, Velachery, Narayanapuram, Pallikaranai, Medavakkam, Sithalapakkam koot road, Sithalapakkam, Arasan kazhani",,,
51D,Tambaram East,Broadway,"Convent, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, jothi nagar, Noothencherry, Vengaivasal, Santhosapuram, Medavakkam Koot road, Medavakkam, Pallikaranai, Velacherry, Ssidapet, DMS, TVS, LIC, Central",,,
51E,Saidapet,Madipakkam BS,"Velachery, Ram nagar",,,
51F,Sunnabu kulathur,T. Nagar,Velachery,,,
51G,Tambaram,Vengaivasal,"Camp Road, Rajakilpakkam, Madambakkam",,,
51H,Tambaram East,Saidapet,"Velachery,Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road",,,
51J,Broadway,Ponmar,"Central, LIC, DMS, SIET, Saidapet, CheckpostVelachery,Medavakkam,Sithalapakkam koot road,Kovilancherry,Madurapakkam",x,,
51K,Tambaram East,Navalur,"Camp Road, Zion School, Madambakkam,Sithalapakkam Koot road, Sithalapakkam, Ottiyambakkam, Karanai, Thalambur",,,
51L,Tambaram East,CMBT,"Vadapalani, Guindy, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road",,,
51M,T. Nagar,Madipakkam BS,"Saidapet, Guindy, NGO Colony, ST Thomas Mount, Vanuvampet, Madipakkam Koot road",,,
51N,T.Nagar,Moovarasampet,"Saidapet, Guindy, NGO Colony, ST Thomas Mount, Vanuvampet, Madipakkam Koot road",,,
51P,High Court,Puzhudivakkam BS,Gunidy Race Course,,,
51R,Broadway,Madipakkam BS,"Puzhudivakkam, Guindy Race Course",,,
51S,Saidapet,Tambaram East,"St.Thomas Mount, Madippakkam, Keelkattalai, Medavakkam Koot Road, Kamarajapuram, Camp Road",,,
51T,Tambaram East,Ponmar,"Camp road, Balaji nagar, Thiruvancherry, Paduvancherry, Agaram then, Kovilancherry, Madurapakkam",,,
52,Pozhichalur,Broadway,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",,,
521,"Broadway, Chennai",Thirupporur,"Marina,Thiruvanmiyur,Perungudi,Sholinganallur,Kelambakkam",,,
522,Adyar,Manamathi,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur",,,
523,Thiruvanmiyur,Perunthandalam,"Perungudi,Sholinganallur,Kelambakkam, Thirupporur",,,x
523A,Thiruvanmiyur,Karumbakkam,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur",,,x
525,Vadapalani,Sunguvarchatiram,"Virugambakkam, Valasarawakkam, Porur, Poonamallee, Irrungattukottai, Sriperumbudur, Thirumangalam koot road,Mambakkam,Vadamangalam",x,,
527,Broadway,Thathamanji,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar, Minjur, Kadapakkam",,,x
52B,Hasthinapuram,Highcourt,"Chrompet,Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",x,,
52C,Hasthinapuram,T.Nagar,"Chrompet,Pallavaram, Guindy, Saidapet",x,,
52D,Chitlapakkam,Broadway,"Varadharaja Theater, Chrompet,Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",,,x
52E,High Court,Nemilicheri,"Chrompet, Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",x,,
52G,High Court,Cowl Bazaar,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS",x,,
52H,Pozhichalur,Manimangalam,"Pallavaram,Chrompet,Tambaram, Mudichur, Mannivakkam, Karasangal",x,,
52K,High Court,Keelkattalai,"Nanganallur, Aasargana, Guindy,Anna Salai",x,,
52L,High Court,Nanganallur,"Aasargana, Guindy,Anna Salai",x,,
52P,High Court,Movarasampet,"Nanganallur, Guindy,Anna Salai",x,,
52S,Nemilicheri,Pozhichalur,"Chrompet, Pallavaram",,,
52T,Pallavaram,Thirumalai Nagar,"Chrompet, Hasthinapuram",,,
53,Broadway,Poonamallee,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",x,,
532,Vallalar Nagar,Periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Arani",,,
533,Arani,CMBT,,,,
536,Pattabiram,Ponneri,"Avadi, Ambattur O.T., Pudhur, Puzhal, Red Hills",,,
538,Vadapalani,Kadambathur,"Virugamabakkam, Valasarawakkam,Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Thirumazhisai, Nemam, Manavalan Nagar, Thiruvallur, Thirupatchur",,,
53E,Broadway,Mangadu,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",x,,
53K,CMBT,Meppur,"Mathruvayoil, Kumananchavadi, Poonamallee,",,,
53P,Pattur,Broadway,"Mangadu, Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",x,,
53S,Pattabiram,CMBT,"Thiruverkadu, Sundaransozhapuram, Mettupalayam,Thandarai",,,x
54,Poonamallee,Broadway,"Kumananchavadi, Porur, Guindy, DMS, TVS, LIC, Central R.S",x,,
547,V Nagar,Periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Siruvapuri",,,
549,Thiruvanmiyur,Sunguvarchathiram,"Adyar, Guindy, Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Irungatukottai, Sriperumbudur",x,,
54A,Poonamallee,Thirunindravur,"Thirumazhisai, Vellavedu, Pudhuchatiram, Periyakottambedu, Kosavapalayam",x,,
54B,Porur,Saidapet,"Moulivakkam, Baikadai, Periyapannicherry, Kolapakkam, Manapakkam, Nandambakkam,Butt road, Kathipara, Guindy I.E, Little Mount",,,
54C,Poonamallee,Pattabiram,"Parivakkam, Chittukadu,Thandarai",x,,
54E,Saidapet,Meppur,"Guindy, Ramapuram, Porur, Kumanan chavadi, Poonamallee",,,
54F,Poonamallee,Mandaveli,"Kumananchavadi, Iyyapanthangal, Porur, Guindy, Adayar",x,,
54F xt,Mylapore,Agaram Mel,"Poonamallee, Kumananchavadi, Iyyapanthangal, Porur, Guindy, Adayar",,,
54G,Kuthambakkam,Broadway,"Vellavedu, Thirumazhisai, Poonamallee, Porur, Guindy, DMS, TVS, LIC, Central R.S",,,
54K,Broadway,Nemam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S",,,
